age,gender,activity_type,duration_min,calories_burned,heart_rate_avg,steps,sleep_hours,weight_kg,age_group
35,2,3,51,74,152,18995,5.1,35.3,1
17,2,6,45,330,157,21286,6.8,63.2,0
34,0,1,87,362,93,10166,5.6,59.0,1
56,0,6,64,318,107,19054,8.6,77.1,3
67,1,3,14,402,104,4148,8.6,55.0,4
34,1,6,76,319,106,5375,7.4,71.9,1
41,2,2,65,422,121,19134,7.5,43.2,2
20,1,6,22,313,139,7286,6.1,76.0,0
19,2,1,79,567,148,7565,6.4,64.3,0
28,2,5,40,477,98,633,4.9,62.9,1
67,2,3,109,50,97,15952,5.2,73.3,4
51,1,2,47,436,128,14000,4.3,73.9,3
42,0,6,117,313,147,9764,5.5,62.0,2
31,1,5,19,417,113,15511,5.9,63.2,1
32,2,0,21,99,84,13967,7.9,72.2,1
55,2,5,27,226,153,16860,6.8,61.7,3
50,2,5,118,271,155,24984,4.9,87.5,2
65,2,3,78,315,61,4079,5.0,69.0,3
48,2,1,13,502,138,16181,7.1,67.1,2
33,0,5,113,230,139,11995,7.7,79.7,1
23,2,6,107,397,104,9017,6.5,71.7,1
25,2,6,79,223,158,5213,8.6,70.8,1
66,2,0,70,416,157,17951,8.2,63.5,4
49,1,4,60,301,98,20424,5.2,88.4,2
23,0,3,77,50,161,19046,4.8,48.0,1
37,1,0,109,240,85,13407,4.2,84.8,2
61,2,6,15,552,136,8650,6.1,77.5,3
57,1,5,17,281,151,19878,9.5,61.8,3
38,2,5,67,315,81,23000,9.0,47.2,2
47,2,6,96,332,179,19992,4.2,72.5,2
26,1,1,95,115,137,18294,8.1,72.0,1
36,0,0,74,233,60,11448,6.6,89.7,2
22,0,5,63,223,142,11047,7.4,53.2,1
68,1,4,27,228,85,16060,4.1,84.9,4
42,0,5,21,334,130,5912,8.1,69.4,2
22,1,6,98,446,161,3411,7.6,80.1,1
34,0,3,67,252,87,19470,6.1,89.2,1
37,2,2,53,202,143,23909,9.5,70.1,2
45,2,5,80,276,63,7633,9.0,50.9,2
39,1,3,105,247,82,10733,4.0,54.4,2
37,2,6,81,312,141,15794,7.2,67.9,2
22,2,2,19,289,127,2487,7.2,64.8,1
42,1,3,16,281,110,3402,7.6,78.5,2
32,2,0,57,254,178,6742,7.5,60.9,1
40,2,4,112,170,158,11410,6.1,62.9,2
57,1,2,104,388,140,4991,8.8,82.7,3
23,0,2,112,50,112,9929,3.8,57.0,1
58,0,5,114,83,117,2754,6.9,81.2,3
43,2,1,46,186,78,8109,4.9,54.9,2
69,2,0,75,193,166,10084,7.8,66.1,4
53,2,1,79,318,163,18666,6.9,61.9,3
16,1,0,103,342,102,16531,7.0,53.4,0
67,0,5,13,314,67,16791,5.6,80.7,4
36,2,4,61,169,149,11757,5.2,55.4,2
23,2,3,82,281,79,22294,5.9,81.3,1
39,1,4,32,275,144,1354,9.1,73.9,2
34,1,0,118,169,140,18420,6.0,64.2,1
33,2,3,16,209,111,13085,4.9,67.1,1
23,0,2,46,279,101,21070,3.2,57.6,1
60,1,4,115,308,116,15851,6.7,98.3,3
64,0,1,51,318,68,11677,8.8,62.5,3
34,1,1,18,391,115,16758,3.6,52.9,1
48,2,4,6,333,102,5521,5.3,72.3,2
48,2,3,95,339,155,24819,8.1,82.7,2
42,1,3,71,235,163,22904,3.0,81.9,2
42,2,2,108,316,162,10795,6.3,53.2,2
63,0,2,93,348,107,8636,4.8,95.4,3
52,2,5,66,468,140,12933,7.9,85.8,3
44,1,0,77,264,153,13874,4.2,72.8,2
34,2,1,94,462,173,19741,3.3,78.6,1
50,1,2,18,237,80,23838,9.4,45.3,2
40,1,6,33,160,143,8970,4.2,79.4,2
42,1,0,15,50,162,15138,8.2,48.1,2
62,0,3,22,114,163,14068,3.8,63.3,3
29,2,0,84,209,135,16733,3.4,81.9,1
31,0,1,98,387,128,22336,6.3,91.6,1
58,0,3,53,236,82,9498,5.4,59.3,3
43,0,3,96,67,149,21295,9.4,87.0,2
23,2,5,18,325,76,19575,9.4,80.1,1
68,0,6,70,151,108,12397,7.6,96.3,4
20,0,6,26,376,150,20748,3.7,69.2,0
17,0,1,13,326,159,960,4.9,62.4,0
45,0,4,54,365,125,15014,7.7,48.3,2
69,2,5,22,369,106,14396,6.6,65.7,4
31,2,0,90,187,136,22910,3.6,57.1,1
68,1,6,95,362,165,8877,6.1,47.9,4
16,1,6,13,312,85,3126,5.9,66.2,0
39,1,5,105,269,111,22972,5.5,59.0,2
69,1,3,112,335,86,17624,8.3,76.9,4
34,0,6,112,311,163,11583,4.7,71.7,1
53,1,6,100,381,127,10074,6.0,90.3,3
60,0,6,95,302,115,12602,4.2,67.8,3
54,1,6,97,274,179,13971,7.4,87.0,3
64,2,3,61,377,149,13152,6.9,83.4,3
30,0,5,112,208,148,17539,5.1,44.3,1
66,0,4,116,192,155,1803,8.8,71.2,4
62,0,6,84,435,130,18532,6.8,46.2,3
17,1,6,65,408,73,8355,4.2,89.4,0
41,2,3,99,585,89,22822,8.0,59.3,2
66,2,6,74,230,72,16001,4.3,98.6,4
44,2,2,68,241,80,7358,7.4,72.1,2
